transaction_id,line_id,category,quantity,net_sales,margin
647,647-L1,Skincare,1,15.07,4.98
650,650-L1,Personal Care,1,18.87,6.28
654,654-L1,Hair Care,1,13.58,4.54
644,644-L1,Skincare,1,6.41,2.06
644,644-L2,Household,1,10.82,3.48
658,658-L1,Oral Care,1,14.74,4.93
683,683-L1,Oral Care,1,22.93,9.4
671,671-L1,Body Care,1,19.59,7.6
663,663-L1,Skincare,1,22.06,8.99
664,664-L1,Body Care,1,11.69,4.64
664,664-L2,Oral Care,1,10.08,4.01
679,679-L1,Make-up,1,21.78,8.7
681,681-L1,Personal Care,1,20.48,8.38
690,690-L1,Skincare,1,4.15,1.41
690,690-L2,Make-up,1,0.74,0.25
689,689-L1,Baby,1,7.79,2.77
716,716-L1,Personal Care,1,14.01,4.82
716,716-L2,Household,1,6.9,2.37
703,703-L1,Household,1,23.99,8.3
718,718-L1,Oral Care,1,4.89,1.75
718,718-L2,Hair Care,1,15.83,5.66
701,701-L1,Make-up,1,23.54,8.42
693,693-L1,Hair Care,1,32.73,11.74
705,705-L1,Personal Care,1,18.5,6.68
726,726-L1,Body Care,1,13.59,4.24
725,725-L1,Household,1,17.75,5.56
735,735-L1,Body Care,1,15.83,4.98
723,723-L1,Make-up,1,16.35,5.11
732,732-L1,Hair Care,1,11.84,3.62
728,728-L1,Baby,1,13.94,4.38
741,741-L1,Personal Care,1,17.05,4.16
766,766-L1,Oral Care,1,15.87,3.85
775,775-L1,Oral Care,1,13.24,3.2
744,744-L1,Oral Care,1,13.96,3.43
768,768-L1,Body Care,1,16.47,3.85
763,763-L1,Skincare,1,17.54,4.28
794,794-L1,Household,1,23.62,6.97
812,812-L1,Make-up,1,19.5,5.76
797,797-L1,Body Care,1,22.15,6.49
795,795-L1,Household,1,23.08,6.67
805,805-L1,Make-up,1,24.36,7.19
811,811-L1,Skincare,1,15.46,4.56
811,811-L2,Make-up,1,4.05,1.19
818,818-L1,Body Care,1,26.58,6.99
826,826-L1,Personal Care,1,29.68,7.71
822,822-L1,Personal Care,1,26.52,6.46
823,823-L1,Make-up,1,24.22,5.95
820,820-L1,Household,1,8.47,2.22
820,820-L2,Personal Care,1,14.54,3.8
821,821-L1,Body Care,1,28.08,7.35
845,845-L1,Oral Care,1,15.6,5.08
830,830-L1,Personal Care,1,4.36,1.54
830,830-L2,Oral Care,1,10.97,3.89
828,828-L1,Baby,1,16.24,5.34
833,833-L1,Baby,1,20.11,7.13
844,844-L1,Body Care,1,11.2,3.98
844,844-L2,Baby,1,9.21,3.28
841,841-L1,Skincare,1,10.28,3.64
841,841-L2,Make-up,1,6.23,2.21
872,872-L1,Body Care,1,32.86,12.09
865,865-L1,Oral Care,1,28.44,10.52
849,849-L1,Baby,1,28.87,10.31
869,869-L1,Make-up,1,22.0,8.16
869,869-L2,Skincare,1,18.53,6.88
851,851-L1,Oral Care,1,19.58,6.93
851,851-L2,Make-up,1,7.43,2.63
852,852-L1,Household,1,13.81,5.06
852,852-L2,Skincare,1,26.63,9.75
940,940-L1,Make-up,1,33.96,11.06
917,917-L1,Oral Care,1,3.23,1.03
917,917-L2,Hair Care,1,9.73,3.1
917,917-L3,Skincare,1,21.86,6.97
894,894-L1,Hair Care,1,10.14,3.3
894,894-L2,Skincare,1,22.71,7.38
894,894-L3,Baby,1,21.46,6.97
903,903-L1,Baby,1,33.78,10.21
921,921-L1,Household,1,5.9,1.78
921,921-L2,Body Care,1,19.38,5.84
972,972-L1,Household,1,34.0,11.05
975,975-L1,Skincare,1,11.79,2.98
994,994-L1,Body Care,1,3.31,0.8
994,994-L2,Personal Care,1,18.82,4.57
988,988-L1,Make-up,1,23.3,6.17
980,980-L1,Household,1,16.68,4.4
980,980-L2,Body Care,1,3.34,0.88
987,987-L1,Oral Care,1,8.36,2.2
987,987-L2,Household,1,2.04,0.54
987,987-L3,Skincare,1,6.31,1.66
985,985-L1,Hair Care,1,16.33,3.83
1001,1001-L1,Skincare,1,15.27,5.17
1019,1019-L1,Hair Care,1,17.58,6.45
998,998-L1,Make-up,1,10.7,3.94
998,998-L2,Body Care,1,2.88,1.06
998,998-L3,Household,1,7.75,2.86
1003,1003-L1,Skincare,1,16.09,5.9
1016,1016-L1,Skincare,1,14.85,5.31
1004,1004-L1,Skincare,1,18.64,6.6
1054,1054-L1,Body Care,1,16.67,3.03
1054,1054-L2,Oral Care,1,5.78,1.05
1041,1041-L1,Oral Care,1,20.4,3.74
1040,1040-L1,Personal Care,1,2.83,0.45
1040,1040-L2,Body Care,1,13.37,2.13
1040,1040-L3,Oral Care,1,11.47,1.82
1047,1047-L1,Baby,1,22.64,4.12
1045,1045-L1,Make-up,1,26.4,4.47
1052,1052-L1,Oral Care,1,21.45,3.93
1100,1100-L1,Hair Care,1,13.78,4.37
1097,1097-L1,Baby,1,12.46,3.95
1069,1069-L1,Oral Care,1,10.96,2.97
1091,1091-L1,Oral Care,1,12.2,3.86
1081,1081-L1,Household,1,12.94,4.11
1101,1101-L1,Oral Care,1,3.95,1.25
1101,1101-L2,Body Care,1,9.88,3.12
1105,1105-L1,Baby,1,13.37,3.57
1117,1117-L1,Personal Care,1,20.54,5.5
1122,1122-L1,Baby,1,20.13,5.39
1107,1107-L1,Body Care,1,18.23,4.87
1111,1111-L1,Personal Care,1,12.94,3.23
1116,1116-L1,Body Care,1,8.62,2.27
1116,1116-L2,Make-up,1,7.38,1.95
1139,1139-L1,Skincare,1,17.45,6.07
1146,1146-L1,Hair Care,1,19.87,7.23
1124,1124-L1,Make-up,1,23.06,8.42
1133,1133-L1,Household,1,14.74,5.37
1133,1133-L2,Hair Care,1,12.55,4.58
1136,1136-L1,Baby,1,24.75,9.03
1151,1151-L1,Hair Care,1,17.17,6.0
1161,1161-L1,Oral Care,1,18.07,6.24
1157,1157-L1,Hair Care,1,18.31,6.53
1156,1156-L1,Oral Care,1,18.1,6.52
1183,1183-L1,Hair Care,1,7.92,2.84
1183,1183-L2,Body Care,1,8.05,2.89
1158,1158-L1,Hair Care,1,17.71,5.88
1170,1170-L1,Oral Care,1,7.59,2.6
1170,1170-L2,Household,1,6.63,2.27
1196,1196-L1,Baby,1,25.56,9.31
1187,1187-L1,Household,1,20.25,7.03
1197,1197-L1,Oral Care,1,20.71,7.51
1192,1192-L1,Hair Care,1,22.61,8.24
1199,1199-L1,Body Care,1,7.8,2.85
1199,1199-L2,Personal Care,1,20.98,7.65
1189,1189-L1,Skincare,1,3.86,1.4
1189,1189-L2,Make-up,1,17.62,6.4
1314,1314-L1,Hair Care,1,23.78,6.32
1205,1205-L1,Make-up,1,10.76,2.85
1205,1205-L2,Household,1,14.39,3.81
1315,1315-L1,Body Care,1,26.97,6.75
1221,1221-L1,Personal Care,1,23.73,6.33
1318,1318-L1,Skincare,1,22.49,5.23
1323,1323-L1,Body Care,1,23.15,6.14
1323,1323-L2,Personal Care,1,13.04,3.46
1364,1364-L1,Oral Care,1,8.76,2.46
1382,1382-L1,Household,1,0.68,0.2
1382,1382-L2,Hair Care,1,3.36,1.01
1382,1382-L3,Make-up,1,3.85,1.16
1394,1394-L1,Oral Care,1,5.23,1.62
1394,1394-L2,Household,1,3.18,0.98
1394,1394-L3,Skincare,1,1.0,0.31
1386,1386-L1,Baby,1,6.68,1.98
1356,1356-L1,Baby,1,8.06,2.28
1390,1390-L1,Household,1,9.38,2.9
1456,1456-L1,Household,1,7.21,1.86
1456,1456-L2,Baby,1,9.72,2.51
1444,1444-L1,Hair Care,1,16.03,3.91
1443,1443-L1,Baby,1,10.85,2.67
1434,1434-L1,Oral Care,1,1.96,0.48
1434,1434-L2,Body Care,1,9.21,2.28
1433,1433-L1,Baby,1,15.8,4.25
1442,1442-L1,Personal Care,1,16.1,4.31
1472,1472-L1,Household,1,18.08,6.65
1473,1473-L1,Skincare,1,7.35,2.69
1473,1473-L2,Baby,1,2.43,0.89
1473,1473-L3,Oral Care,1,10.71,3.91
1470,1470-L1,Baby,1,12.43,4.42
1470,1470-L2,Skincare,1,4.7,1.67
1482,1482-L1,Oral Care,1,1.62,0.58
1482,1482-L2,Baby,1,9.75,3.49
1482,1482-L3,Household,1,4.23,1.52
1484,1484-L1,Personal Care,1,16.44,6.0
1484,1484-L2,Body Care,1,13.76,5.02
1486,1486-L1,Household,1,17.62,6.36
1567,1567-L1,Personal Care,1,9.73,2.77
1491,1491-L1,Baby,1,9.64,2.57
1535,1535-L1,Skincare,1,16.25,4.66
1535,1535-L2,Body Care,1,2.6,0.75
1575,1575-L1,Skincare,1,5.27,1.51
1575,1575-L2,Body Care,1,4.96,1.42
1575,1575-L3,Oral Care,1,4.12,1.18
1517,1517-L1,Household,1,6.23,1.78
1517,1517-L2,Skincare,1,5.73,1.64
1517,1517-L3,Oral Care,1,3.3,0.94
1568,1568-L1,Skincare,1,11.05,2.99
1582,1582-L1,Oral Care,1,42.15,13.16
1584,1584-L1,Skincare,1,28.19,8.13
1592,1592-L1,Make-up,1,30.43,8.72
1589,1589-L1,Make-up,1,52.52,16.29
1591,1591-L1,Personal Care,1,34.85,10.8
1590,1590-L1,Make-up,1,30.51,9.51
1598,1598-L1,Make-up,1,7.45,1.67
1598,1598-L2,Hair Care,1,57.27,12.81
1620,1620-L1,Oral Care,1,25.2,5.62
1620,1620-L2,Personal Care,1,18.41,4.11
1620,1620-L3,Household,1,12.29,2.74
1628,1628-L1,Skincare,1,38.97,8.71
1628,1628-L2,Personal Care,1,14.2,3.17
1617,1617-L1,Oral Care,1,29.76,5.94
1617,1617-L2,Personal Care,1,22.97,4.58
1602,1602-L1,Baby,1,35.45,7.96
1602,1602-L2,Oral Care,1,19.53,4.39
1624,1624-L1,Oral Care,1,63.03,14.16
1644,1644-L1,Skincare,1,8.37,2.57
1644,1644-L2,Household,1,11.7,3.6
1645,1645-L1,Hair Care,1,27.9,8.63
1657,1657-L1,Oral Care,1,20.72,6.42
1654,1654-L1,Personal Care,1,33.78,10.39
1642,1642-L1,Body Care,1,18.68,5.47
1639,1639-L1,Household,1,20.48,6.21
1697,1697-L1,Hair Care,1,13.35,3.82
1669,1669-L1,Oral Care,1,9.72,2.79
1660,1660-L1,Personal Care,1,3.31,0.87
1660,1660-L2,Oral Care,1,3.61,0.95
1660,1660-L3,Baby,1,2.66,0.7
1661,1661-L1,Make-up,1,9.48,2.46
1674,1674-L1,Oral Care,1,12.3,3.49
1674,1674-L2,Household,1,2.08,0.59
1685,1685-L1,Skincare,1,7.33,1.89
1715,1715-L1,Skincare,1,36.18,13.15
1721,1721-L1,Body Care,1,47.38,17.24
1707,1707-L1,Skincare,1,30.61,11.02
1722,1722-L1,Make-up,1,37.16,13.15
1726,1726-L1,Oral Care,1,39.78,13.94
1710,1710-L1,Body Care,1,13.17,4.43
1710,1710-L2,Make-up,1,12.87,4.33
1730,1730-L1,Oral Care,1,21.18,6.7
1732,1732-L1,Hair Care,1,27.81,8.78
1734,1734-L1,Baby,1,25.43,8.08
1728,1728-L1,Household,1,27.13,9.04
1733,1733-L1,Hair Care,1,23.86,7.44
1729,1729-L1,Personal Care,1,34.14,11.4
1743,1743-L1,Skincare,1,17.09,3.6
1738,1738-L1,Make-up,1,13.49,2.86
1738,1738-L2,Skincare,1,7.33,1.56
1741,1741-L1,Skincare,1,19.48,4.13
1739,1739-L1,Oral Care,1,13.78,2.93
1748,1748-L1,Hair Care,1,15.19,3.23
1742,1742-L1,Skincare,1,25.66,5.41
1764,1764-L1,Make-up,1,3.6,1.16
1764,1764-L2,Personal Care,1,7.36,2.37
1757,1757-L1,Hair Care,1,9.11,2.93
1768,1768-L1,Skincare,1,7.15,2.18
1766,1766-L1,Make-up,1,12.08,3.76
1765,1765-L1,Make-up,1,8.8,2.72
1769,1769-L1,Household,1,7.48,2.33
1810,1810-L1,Oral Care,1,12.79,3.18
1803,1803-L1,Hair Care,1,12.7,3.16
1784,1784-L1,Oral Care,1,13.04,3.2
1790,1790-L1,Baby,1,7.2,1.78
1790,1790-L2,Make-up,1,6.18,1.53
1807,1807-L1,Baby,1,8.69,2.13
1807,1807-L2,Body Care,1,5.08,1.24
1826,1826-L1,Household,1,1.89,0.47
1826,1826-L2,Body Care,1,4.93,1.21
1826,1826-L3,Oral Care,1,8.45,2.08
1836,1836-L1,Body Care,1,25.08,10.39
1845,1845-L1,Skincare,1,19.21,7.69
1843,1843-L1,Household,1,18.62,7.65
1837,1837-L1,Skincare,1,21.41,8.83
1834,1834-L1,Personal Care,1,15.46,6.14
1841,1841-L1,Skincare,1,26.78,10.99
1868,1868-L1,Household,1,14.1,4.29
1858,1858-L1,Oral Care,1,6.11,1.84
1858,1858-L2,Personal Care,1,9.91,2.98
1857,1857-L1,Baby,1,18.26,5.51
1859,1859-L1,Personal Care,1,12.66,3.56
1864,1864-L1,Skincare,1,11.59,3.13
1860,1860-L1,Make-up,1,19.55,5.93
1899,1899-L1,Personal Care,1,16.81,3.02
1894,1894-L1,Personal Care,1,15.5,2.72
1908,1908-L1,Hair Care,1,15.03,2.67
1900,1900-L1,Household,1,12.31,1.89
1900,1900-L2,Oral Care,1,3.8,0.58
1902,1902-L1,Hair Care,1,19.11,3.4
1911,1911-L1,Body Care,1,16.94,2.76
1926,1926-L1,Personal Care,1,44.19,15.25
1940,1940-L1,Household,1,34.0,11.67
1949,1949-L1,Body Care,1,29.96,10.35
1952,1952-L1,Oral Care,1,37.2,12.83
1929,1929-L1,Body Care,1,28.57,9.87
1958,1958-L1,Oral Care,1,35.93,12.45
1975,1975-L1,Body Care,1,27.12,7.29
1974,1974-L1,Make-up,1,18.06,4.84
1974,1974-L2,Baby,1,2.36,0.63
1974,1974-L3,Hair Care,1,5.71,1.53
1976,1976-L1,Household,1,14.05,3.79
1976,1976-L2,Make-up,1,6.69,1.8
1976,1976-L3,Skincare,1,2.83,0.76
1971,1971-L1,Make-up,1,26.04,6.99
1966,1966-L1,Baby,1,26.44,6.74
1964,1964-L1,Personal Care,1,26.58,7.14
1980,1980-L1,Household,1,35.72,12.82
1987,1987-L1,Hair Care,1,36.94,13.16
1984,1984-L1,Baby,1,5.08,1.83
1984,1984-L2,Personal Care,1,25.02,8.99
1991,1991-L1,Household,1,19.83,6.53
1982,1982-L1,Oral Care,1,15.2,5.07
1982,1982-L2,Make-up,1,18.15,6.06
1990,1990-L1,Oral Care,1,36.14,12.85
2011,2011-L1,Body Care,1,12.34,4.29
2011,2011-L2,Make-up,1,26.32,9.16
1994,1994-L1,Baby,1,33.54,12.32
2018,2018-L1,Body Care,1,32.18,12.09
2023,2023-L1,Baby,1,53.52,20.08
2005,2005-L1,Make-up,1,35.69,13.46
2022,2022-L1,Make-up,1,29.45,10.68
2038,2038-L1,Baby,1,21.06,4.97
2032,2032-L1,Household,1,12.06,2.84
2032,2032-L2,Baby,1,18.1,4.26
2035,2035-L1,Hair Care,1,16.85,3.97
2034,2034-L1,Personal Care,1,11.97,2.61
2034,2034-L2,Body Care,1,7.5,1.63
2033,2033-L1,Baby,1,20.19,4.73
2031,2031-L1,Body Care,1,19.32,4.55
2064,2064-L1,Make-up,1,26.92,8.16
2046,2046-L1,Body Care,1,21.35,6.47
2060,2060-L1,Hair Care,1,16.93,5.15
2060,2060-L2,Oral Care,1,9.21,2.8
2052,2052-L1,Baby,1,22.65,5.8
2059,2059-L1,Oral Care,1,28.41,8.48
2049,2049-L1,Make-up,1,33.54,10.08
2097,2097-L1,Baby,1,20.35,4.28
2078,2078-L1,Skincare,1,15.35,3.23
2078,2078-L2,Make-up,1,6.94,1.46
2099,2099-L1,Hair Care,1,13.14,2.78
2099,2099-L2,Skincare,1,11.38,2.41
2099,2099-L3,Body Care,1,5.0,1.06
2084,2084-L1,Skincare,1,30.92,6.51
2102,2102-L1,Oral Care,1,29.51,6.23
2080,2080-L1,Hair Care,1,23.55,4.97
2130,2130-L1,Household,1,4.31,1.15
2130,2130-L2,Baby,1,14.31,3.81
2118,2118-L1,Oral Care,1,12.82,3.41
2129,2129-L1,Skincare,1,5.42,1.45
2129,2129-L2,Hair Care,1,9.0,2.4
2122,2122-L1,Skincare,1,17.2,4.59
2119,2119-L1,Make-up,1,12.38,3.29
2115,2115-L1,Make-up,1,21.33,5.68
2147,2147-L1,Oral Care,1,17.76,6.59
2145,2145-L1,Oral Care,1,29.9,11.72
2158,2158-L1,Hair Care,1,18.7,7.31
2150,2150-L1,Household,1,22.02,8.46
2157,2157-L1,Make-up,1,28.71,10.93
2152,2152-L1,Personal Care,1,21.04,7.77
2174,2174-L1,Make-up,1,28.03,7.44
2179,2179-L1,Personal Care,1,18.06,4.52
2172,2172-L1,Household,1,15.07,3.99
2172,2172-L2,Skincare,1,5.57,1.47
2160,2160-L1,Personal Care,1,30.75,8.21
2166,2166-L1,Personal Care,1,25.21,6.71
2162,2162-L1,Body Care,1,5.99,1.57
2162,2162-L2,Oral Care,1,20.24,5.32
2185,2185-L1,Hair Care,1,16.47,4.23
2185,2185-L2,Baby,1,10.67,2.74
2185,2185-L3,Make-up,1,1.2,0.31
2184,2184-L1,Body Care,1,35.88,9.93
2189,2189-L1,Oral Care,1,15.65,4.14
2189,2189-L2,Make-up,1,15.1,4.0
2191,2191-L1,Make-up,1,21.23,5.56
2194,2194-L1,Oral Care,1,25.94,6.76
2186,2186-L1,Oral Care,1,23.36,6.29
2205,2205-L1,Oral Care,1,14.66,3.9
2205,2205-L2,Household,1,18.44,4.9
2201,2201-L1,Skincare,1,38.76,10.26
2204,2204-L1,Household,1,50.11,13.24
2208,2208-L1,Body Care,1,2.49,0.66
2208,2208-L2,Personal Care,1,30.84,8.18
2199,2199-L1,Baby,1,34.7,9.22
2197,2197-L1,Body Care,1,7.5,1.99
2197,2197-L2,Hair Care,1,34.89,9.27
2216,2216-L1,Household,1,12.1,3.45
2216,2216-L2,Baby,1,4.89,1.39
2228,2228-L1,Make-up,1,21.16,5.55
2210,2210-L1,Household,1,13.55,3.58
2210,2210-L2,Personal Care,1,8.14,2.15
2229,2229-L1,Hair Care,1,4.21,1.1
2229,2229-L2,Oral Care,1,9.6,2.5
2242,2242-L1,Make-up,1,22.22,5.98
2233,2233-L1,Oral Care,1,19.6,5.6
2259,2259-L1,Body Care,1,10.72,4.01
2259,2259-L2,Oral Care,1,8.35,3.13
2299,2299-L1,Personal Care,1,15.39,5.45
2296,2296-L1,Oral Care,1,21.59,8.03
2276,2276-L1,Hair Care,1,15.28,5.51
2298,2298-L1,Make-up,1,18.49,6.94
2298,2298-L2,Baby,1,2.87,1.08
2321,2321-L1,Skincare,1,6.57,2.47
2321,2321-L2,Make-up,1,12.74,4.79
2350,2350-L1,Oral Care,1,20.63,7.17
2340,2340-L1,Baby,1,16.23,5.64
2346,2346-L1,Baby,1,18.35,6.12
2342,2342-L1,Oral Care,1,2.29,0.79
2342,2342-L2,Household,1,18.58,6.45
2351,2351-L1,Body Care,1,8.74,2.97
2351,2351-L2,Personal Care,1,11.25,3.83
2362,2362-L1,Skincare,1,15.47,5.34
2385,2385-L1,Body Care,1,38.22,9.6
2384,2384-L1,Household,1,38.15,9.49
2383,2383-L1,Personal Care,1,29.66,6.92
2388,2388-L1,Make-up,1,44.37,11.04
2394,2394-L1,Oral Care,1,27.66,6.64
2390,2390-L1,Hair Care,1,40.06,9.64
2493,2493-L1,Personal Care,1,28.27,10.55
2419,2419-L1,Household,1,26.7,10.04
2476,2476-L1,Hair Care,1,31.59,11.77
2427,2427-L1,Skincare,1,26.45,9.58
2447,2447-L1,Body Care,1,25.05,9.34
2463,2463-L1,Make-up,1,25.06,9.38
2505,2505-L1,Skincare,1,15.53,3.33
2511,2511-L1,Oral Care,1,3.32,0.72
2511,2511-L2,Personal Care,1,8.43,1.82
2498,2498-L1,Household,1,3.45,0.74
2498,2498-L2,Oral Care,1,13.77,2.93
2501,2501-L1,Body Care,1,19.75,4.21
2500,2500-L1,Personal Care,1,13.0,2.81
2506,2506-L1,Personal Care,1,19.94,4.26
2513,2513-L1,Skincare,1,15.08,4.43
2517,2517-L1,Household,1,15.55,4.69
2539,2539-L1,Oral Care,1,17.29,5.24
2534,2534-L1,Make-up,1,11.05,3.0
2526,2526-L1,Body Care,1,1.93,0.57
2526,2526-L2,Household,1,11.38,3.34
2514,2514-L1,Household,1,14.25,4.31
2560,2560-L1,Skincare,1,24.97,6.23
2581,2581-L1,Hair Care,1,23.7,6.12
2581,2581-L2,Body Care,1,7.15,1.84
2605,2605-L1,Skincare,1,13.91,3.56
2605,2605-L2,Household,1,11.28,2.89
2571,2571-L1,Skincare,1,21.7,5.6
2557,2557-L1,Body Care,1,23.57,6.05
2585,2585-L1,Hair Care,1,26.32,6.79
2659,2659-L1,Hair Care,1,22.79,5.62
2660,2660-L1,Baby,1,19.03,4.74
2638,2638-L1,Personal Care,1,22.78,5.66
2631,2631-L1,Body Care,1,16.55,3.9
2640,2640-L1,Oral Care,1,15.89,3.98
2668,2668-L1,Baby,1,16.89,4.15
2675,2675-L1,Make-up,1,19.56,6.44
2676,2676-L1,Hair Care,1,3.05,0.95
2676,2676-L2,Personal Care,1,11.02,3.45
2680,2680-L1,Make-up,1,14.13,4.29
2674,2674-L1,Skincare,1,4.45,1.46
2674,2674-L2,Hair Care,1,12.01,3.93
2677,2677-L1,Make-up,1,17.58,5.74
2677,2677-L2,Hair Care,1,4.23,1.38
2679,2679-L1,Baby,1,18.54,6.07
2696,2696-L1,Hair Care,1,21.81,7.26
2683,2683-L1,Body Care,1,9.78,3.25
2683,2683-L2,Make-up,1,6.74,2.24
2687,2687-L1,Household,1,5.95,1.96
2687,2687-L2,Hair Care,1,8.55,2.81
2687,2687-L3,Personal Care,1,2.67,0.88
2698,2698-L1,Body Care,1,19.32,6.39
2708,2708-L1,Hair Care,1,11.53,3.81
2708,2708-L2,Household,1,7.83,2.59
2709,2709-L1,Oral Care,1,15.73,5.2
2728,2728-L1,Body Care,1,13.16,4.78
2714,2714-L1,Make-up,1,7.66,2.89
2714,2714-L2,Household,1,10.5,3.95
2731,2731-L1,Baby,1,16.57,6.05
2741,2741-L1,Make-up,1,22.36,8.44
2725,2725-L1,Oral Care,1,17.66,6.69
2719,2719-L1,Oral Care,1,9.48,3.35
2751,2751-L1,Baby,1,18.78,7.49
2751,2751-L2,Oral Care,1,25.63,10.23
2763,2763-L1,Personal Care,1,25.07,9.96
2754,2754-L1,Body Care,1,32.03,12.76
2748,2748-L1,Skincare,1,41.12,16.43
2747,2747-L1,Make-up,1,54.65,21.76
2750,2750-L1,Body Care,1,39.91,15.88
2792,2792-L1,Skincare,1,14.57,5.29
2765,2765-L1,Oral Care,1,20.7,7.54
2774,2774-L1,Household,1,16.8,6.09
2782,2782-L1,Skincare,1,11.69,4.26
2782,2782-L2,Household,1,10.64,3.87
2780,2780-L1,Make-up,1,16.11,5.55
2780,2780-L2,Oral Care,1,2.92,1.01
2781,2781-L1,Personal Care,1,19.25,7.01
2814,2814-L1,Skincare,1,24.31,5.89
2814,2814-L2,Oral Care,1,8.75,2.12
2823,2823-L1,Oral Care,1,27.48,7.04
